Siruta,Localitate_X,Judet,Localitate
1017,Municipiul Alba Iulia,ab,MUNICIPIUL ALBA IULIA
1071,Ciugud,ab,CIUGUD
1151,Oras Abrud,ab,ORAS ABRUD
1213,Municipiul Aiud,ab,MUNICIPIUL AIUD
1348,Municipiul Blaj,ab,MUNICIPIUL BLAJ
1455,Oras Campeni,ab,ORAS CAMPENI
1696,Oras Cugir,ab,ORAS CUGIR
1794,Oras Ocna Mures,ab,ORAS OCNA MURES
1874,Municipiul Sebes,ab,MUNICIPIUL SEBES
1936,Oras Zlatna,ab,ORAS ZLATNA
2130,Albac,ab,ALBAC
2309,Almasu Mare,ab,ALMASU MARE
2381,Arieseni,ab,ARIESENI
2577,Avram Iancu,ab,AVRAM IANCU
2915,Oras Baia De Aries,ab,ORAS BAIA DE ARIES
2988,Berghin,ab,BERGHIN
3039,Bistra,ab,BISTRA
3397,Blandiana,ab,BLANDIANA
3459,Bucium,ab,BUCIUM
3761,Cenade,ab,CENADE
3805,Cergau,ab,CERGAU
3841,Ceru-Bacainti,ab,CERU-BACAINTI
3958,Cetatea De Balta,ab,CETATEA DE BALTA
4008,Ciuruleasa,ab,CIURULEASA
4106,Calnic,ab,CALNIC
4142,Cricau,ab,CRICAU
4188,Craciunelu De Jos,ab,CRACIUNELU DE JOS
4240,Daia Romana,ab,DAIA ROMANA
4268,Dostat,ab,DOSTAT
4302,Farau,ab,FARAU
4366,Galda De Jos,ab,GALDA DE JOS
4482,Garbova,ab,GARBOVA
4525,Garda De Sus,ab,GARDA DE SUS
4703,Hoparta,ab,HOPARTA
4767,Horea,ab,HOREA
4927,Ighiu,ab,IGHIU
4981,Intregalde,ab,INTREGALDE
5103,Jidvei,ab,JIDVEI
5167,Livezile,ab,LIVEZILE
5210,Lopadea Noua,ab,LOPADEA NOUA
5309,Lunca Muresului,ab,LUNCA MURESULUI
5336,Lupsa,ab,LUPSA
5577,Metes,ab,METES
5700,Mihalt,ab,MIHALT
5755,Miraslau,ab,MIRASLAU
5826,Mogos,ab,MOGOS
6048,Noslac,ab,NOSLAC
6119,Ocolis,ab,OCOLIS
6164,Ohaba,ab,OHABA
6217,Pianu,ab,PIANU
6271,Poiana Vadului,ab,POIANA VADULUI
6397,Ponor,ab,PONOR
6468,Posaga,ab,POSAGA
6547,Radesti,ab,RADESTI
6592,Rametea,ab,RAMETEA
6627,Ramet,ab,RAMET
6761,Rosia Montana,ab,ROSIA MONTANA
6930,Rosia De Secas,ab,ROSIA DE SECAS
6976,Salciua,ab,SALCIUA
7044,Salistea,ab,SALISTEA
7099,Sasciori,ab,SASCIORI
7197,Scarisoara,ab,SCARISOARA
7348,Sancel,ab,SANCEL
7384,Santimbru,ab,SANTIMBRU
7446,Sohodol,ab,SOHODOL
7767,Stremt,ab,STREMT
7810,Sibot,ab,SIBOT
7865,Sona,ab,SONA
7945,Spring,ab,SPRING
8014,Sugag,ab,SUGAG
8096,Oras Teius,ab,ORAS TEIUS
8158,Unirea,ab,UNIREA
8229,Vadu Motilor,ab,VADU MOTILOR
8354,Valea Lunga,ab,VALEA LUNGA
8425,Vidra,ab,VIDRA
8826,Vintu De Jos,ab,VINTU DE JOS
9019,Cut,ab,CUT
9026,Bucerdea Granoasa,ab,BUCERDEA GRANOASA
9262,Municipiul Arad,ar,MUNICIPIUL ARAD
9280,Fantanele,ar,FANTANELE
9333,Livada,ar,LIVADA
9360,Sofronea,ar,SOFRONEA
9397,Vladimirescu,ar,VLADIMIRESCU
9459,Oras Chisineu-Cris,ar,ORAS CHISINEU-CRIS
9495,Oras Curtici,ar,ORAS CURTICI
9538,Oras Ineu,ar,ORAS INEU
9574,Oras Lipova,ar,ORAS LIPOVA
9627,Oras Nadlac,ar,ORAS NADLAC
9654,Oras Pancota,ar,ORAS PANCOTA
9690,Oras Sebis,ar,ORAS SEBIS
9743,Almas,ar,ALMAS
9798,Apateu,ar,APATEU
9832,Archis,ar,ARCHIS
9887,Bata,ar,BATA
9930,Beliu,ar,BELIU
10006,Birchis,ar,BIRCHIS
10051,Barsa,ar,BARSA
10104,Barzava,ar,BARZAVA
10195,Bocsig,ar,BOCSIG
10239,Brazii,ar,BRAZII
10293,Buteni,ar,BUTENI
10346,Carand,ar,CARAND
10373,Cermei,ar,CERMEI
10417,Chisindia,ar,CHISINDIA
10453,Conop,ar,CONOP
10514,Covasint,ar,COVASINT
10532,Craiva,ar,CRAIVA
10649,Dezna,ar,DEZNA
10701,Dieci,ar,DIECI
10765,Ususau,ar,USUSAU
10827,Felnac,ar,FELNAC
10872,Ghioroc,ar,GHIOROC
10916,Graniceri,ar,GRANICERI
10943,Gurahont,ar,GURAHONT
11058,Halmagiu,ar,HALMAGIU
11174,Halmagel,ar,HALMAGEL
11236,Hasmas,ar,HASMAS
11307,Ignesti,ar,IGNESTI
11352,Iratosu,ar,IRATOSU
11398,Macea,ar,MACEA
11423,Misca,ar,MISCA
11478,Moneasa,ar,MONEASA
11502,Olari,ar,OLARI
11539,Paulis,ar,PAULIS
11584,Oras Pecica,ar,ORAS PECICA
11637,Peregu Mare,ar,PEREGU MARE
11664,Petris,ar,PETRIS
11735,Pilu,ar,PILU
11762,Plescuta,ar,PLESCUTA
11842,Savarsin,ar,SAVARSIN
11940,Secusigiu,ar,SECUSIGIU
11995,Seleus,ar,SELEUS
12037,Semlac,ar,SEMLAC
12055,Sintea Mare,ar,SINTEA MARE
12091,Oras Santana,ar,ORAS SANTANA
12126,Socodor,ar,SOCODOR
12144,Sagu,ar,SAGU
12206,Seitin,ar,SEITIN
12224,Sepreus,ar,SEPREUS
12242,Sicula,ar,SICULA
12288,Silindia,ar,SILINDIA
12340,Simand,ar,SIMAND
12368,Siria,ar,SIRIA
12402,Sistarovat,ar,SISTAROVAT
12457,Taut,ar,TAUT
12509,Tarnova,ar,TARNOVA
12572,Varadia De Mures,ar,VARADIA DE MURES
12643,Vinga,ar,VINGA
12689,Varfurile,ar,VARFURILE
12778,Zabrani,ar,ZABRANI
12812,Zarand,ar,ZARAND
12849,Zerind,ar,ZERIND
12876,Zimandu Nou,ar,ZIMANDU NOU
12912,Dorobanti,ar,DOROBANTI
12920,Frumuseni,ar,FRUMUSENI
12938,Zadareni,ar,ZADARENI
13169,Municipiul Pitesti,ag,MUNICIPIUL PITESTI
13187,Bascov,ag,BASCOV
13276,Bradu,ag,BRADU
13301,Oras Mioveni,ag,ORAS MIOVENI
13365,Maracineni,ag,MARACINENI
13392,Oras Stefanesti,ag,ORAS STEFANESTI
13490,Municipiul Campulung,ag,MUNICIPIUL CAMPULUNG
13524,Valea Mare Pravat,ag,VALEA MARE PRAVAT
13622,Municipiul Curtea De Arges,ag,MUNICIPIUL CURTEA DE ARGES
13668,Oras Costesti,ag,ORAS COSTESTI
13757,Oras Topoloveni,ag,ORAS TOPOLOVENI
13819,Albestii De Arges,ag,ALBESTII DE ARGES
13891,Albestii De Muscel,ag,ALBESTII DE MUSCEL
13935,Albota,ag,ALBOTA
13999,Aninoasa,ag,ANINOASA
14049,Arefu,ag,AREFU
14085,Babana,ag,BABANA
14165,Baiculesti,ag,BAICULESTI
14272,Balilesti,ag,BALILESTI
14352,Beleti-Negresti,ag,BELETI-NEGRESTI
14405,Berevoesti,ag,BEREVOESTI
14450,Barla,ag,BARLA
14584,Bogati,ag,BOGATI
14673,Boteni,ag,BOTENI
14726,Botesti,ag,BOTESTI
14753,Bradulet,ag,BRADULET
14851,Budeasa,ag,BUDEASA
14922,Bughea De Jos,ag,BUGHEA DE JOS
14940,Buzoesti,ag,BUZOESTI
15064,Caldararu,ag,CALDARARU
15108,Calinesti,ag,CALINESTI
15233,Cateasca,ag,CATEASCA
15313,Cepari,ag,CEPARI
15402,Cetateni,ag,CETATENI
15448,Cicanesti,ag,CICANESTI
15493,Ciofrangeni,ag,CIOFRANGENI
15554,Ciomagesti,ag,CIOMAGESTI
15652,Cocu,ag,COCU
15741,Corbeni,ag,CORBENI
15830,Corbi,ag,CORBI
15901,Cosesti,ag,COSESTI
15983,Cotmeana,ag,COTMEANA
16132,Cuca,ag,CUCA
16285,Davidesti,ag,DAVIDESTI
16329,Dambovicioara,ag,DAMBOVICIOARA
16365,Darmanesti,ag,DARMANESTI
16427,Dobresti,ag,DOBRESTI
16454,Domnesti,ag,DOMNESTI
16472,Dragoslavele,ag,DRAGOSLAVELE
16506,Draganu,ag,DRAGANU
16551,Godeni,ag,GODENI
16613,Harsesti,ag,HARSESTI
16659,Hartiesti,ag,HARTIESTI
16739,Izvoru,ag,IZVORU
16757,Leordeni,ag,LEORDENI
16908,Leresti,ag,LERESTI
16944,Lunca Corbului,ag,LUNCA CORBULUI
17049,Malureni,ag,MALURENI
17101,Merisani,ag,MERISANI
17209,Micesti,ag,MICESTI
17254,Mihaesti,ag,MIHAESTI
17334,Mioarele,ag,MIOARELE
17398,Mirosi,ag,MIROSI
17423,Moraresti,ag,MORARESTI
17496,Mosoaia,ag,MOSOAIA
17575,Mozaceni,ag,MOZACENI
17619,Musatesti,ag,MUSATESTI
17726,Negrasi,ag,NEGRASI
17771,Nucsoara,ag,NUCSOARA
17824,Oarja,ag,OARJA
17851,Pietrosani,ag,PIETROSANI
17913,Poienarii De Arges,ag,POIENARII DE ARGES
17968,Poienarii De Muscel,ag,POIENARII DE MUSCEL
18028,Poiana Lacului,ag,POIANA LACULUI
18162,Popesti,ag,POPESTI
18242,Priboieni,ag,PRIBOIENI
18331,Ratesti,ag,RATESTI
18411,Recea,ag,RECEA
18475,Rociu,ag,ROCIU
18527,Rucar,ag,RUCAR
18554,Salatrucu,ag,SALATRUCU
18581,Sapata,ag,SAPATA
18670,Schitu Golesti,ag,SCHITU GOLESTI
18741,Slobozia,ag,SLOBOZIA
18778,Stalpeni,ag,STALPENI
18858,Stoenesti,ag,STOENESTI
18938,Stolnici,ag,STOLNICI
19007,Suseni,ag,SUSENI
19114,Stefan Cel Mare,ag,STEFAN CEL MARE
19141,Suici,ag,SUICI
19212,Teiu,ag,TEIU
19249,Tigveni,ag,TIGVENI
19338,Titesti,ag,TITESTI
19392,Uda,ag,UDA
19560,Ungheni,ag,UNGHENI
19631,Valea Danului,ag,VALEA DANULUI
19695,Valea Iasului,ag,VALEA IASULUI
19793,Vedea,ag,VEDEA
19999,Vladesti,ag,VLADESTI
20048,Raca,ag,RACA
20055,Vulturesti,ag,VULTURESTI
20063,Bughea De Sus,ag,BUGHEA DE SUS
20297,Municipiul Bacau,bc,MUNICIPIUL BACAU
20313,Hemeius,bc,HEMEIUS
20359,Letea Veche,bc,LETEA VECHE
20411,Magura,bc,MAGURA
20466,Margineni,bc,MARGINENI
20563,Municipiul Onesti,bc,MUNICIPIUL ONESTI
20607,Gura Vaii,bc,GURA VAII
20670,Stefan Cel Mare,bc,STEFAN CEL MARE
20778,Oras Buhusi,bc,ORAS BUHUSI
20821,Oras Comanesti,bc,ORAS COMANESTI
20876,Municipiul Moinesti,bc,MUNICIPIUL MOINESTI
20910,Oras Slanic-Moldova,bc,ORAS SLANIC-MOLDOVA
20965,Oras Targu Ocna,bc,ORAS TARGU OCNA
21007,Agas,bc,AGAS
21098,Ardeoani,bc,ARDEOANI
21123,Asau,bc,ASAU
21196,Balcani,bc,BALCANI
21249,Beresti-Bistrita,bc,BERESTI-BISTRITA
21338,Beresti-Tazlau,bc,BERESTI-TAZLAU
21418,Berzunti,bc,BERZUNTI
21454,Barsanesti,bc,BARSANESTI
21506,Blagesti,bc,BLAGESTI
21560,Bogdanesti,bc,BOGDANESTI
21597,Brusturoasa,bc,BRUSTUROASA
21668,Buhoci,bc,BUHOCI
21720,Casin,bc,CASIN
21757,Caiuti,bc,CAIUTI
21855,Cleja,bc,CLEJA
21891,Colonesti,bc,COLONESTI
21971,Corbasca,bc,CORBASCA
22059,Cotofanesti,bc,COTOFANESTI
22111,Damienesti,bc,DAMIENESTI
22166,Oras Darmanesti,bc,ORAS DARMANESTI
22237,Dealu Morii,bc,DEALU MORII
22380,Dofteana,bc,DOFTEANA
22460,Faraoani,bc,FARAOANI
22488,Filipeni,bc,FILIPENI
22576,Filipesti,bc,FILIPESTI
22665,Gaiceana,bc,GAICEANA
22718,Ghimes-Faget,bc,GHIMES-FAGET
22781,Garleni,bc,GARLENI
22834,Glavanesti,bc,GLAVANESTI
22898,Helegiu,bc,HELEGIU
22941,Horgesti,bc,HORGESTI
23047,Huruiesti,bc,HURUIESTI
23127,Izvoru Berheciului,bc,IZVORU BERHECIULUI
23207,Lipova,bc,LIPOVA
23289,Livezi,bc,LIVEZI
23350,Luizi-Calugara,bc,LUIZI-CALUGARA
23387,Magiresti,bc,MAGIRESTI
23449,Manastirea Casin,bc,MANASTIREA CASIN
23494,Motoseni,bc,MOTOSENI
23644,Negri,bc,NEGRI
23715,Nicolae Balcescu,bc,NICOLAE BALCESCU
23797,Oituz,bc,OITUZ
23868,Oncesti,bc,ONCESTI
23948,Orbeni,bc,ORBENI
23975,Palanca,bc,PALANCA
24034,Parava,bc,PARAVA
24089,Parincea,bc,PARINCEA
24187,Pancesti,bc,PANCESTI
24276,Pargaresti,bc,PARGARESTI
24338,Parjol,bc,PARJOL
24427,Plopana,bc,PLOPANA
24524,Podu Turcului,bc,PODU TURCULUI
24631,Poduri,bc,PODURI
24711,Racova,bc,RACOVA
24766,Racaciuni,bc,RACACIUNI
24837,Rachitoasa,bc,RACHITOASA
24999,Rosiori,bc,ROSIORI
25068,Sascut,bc,SASCUT
25148,Sanduleni,bc,SANDULENI
25228,Saucesti,bc,SAUCESTI
25291,Scorteni,bc,SCORTENI
25362,Secuieni,bc,SECUIENI
25488,Solont,bc,SOLONT
25521,Stanisesti,bc,STANISESTI
25629,Strugari,bc,STRUGARI
25692,Tamasi,bc,TAMASI
25745,Tatarasti,bc,TATARASTI
25825,Targu Trotus,bc,TARGU TROTUS
25861,Traian,bc,TRAIAN
25932,Ungureni,bc,UNGURENI
26029,Urechesti,bc,URECHESTI
26083,Valea Seaca,bc,VALEA SEACA
26118,Vultureni,bc,VULTURENI
26289,Zemes,bc,ZEMES
26320,Sarata,bc,SARATA
26338,Buciumi,bc,BUCIUMI
26346,Gioseni,bc,GIOSENI
26353,Odobesti,bc,ODOBESTI
26361,Prajesti,bc,PRAJESTI
26379,Itesti,bc,ITESTI
26564,Municipiul Oradea,bh,MUNICIPIUL ORADEA
26582,Sanmartin,bh,SANMARTIN
26653,Santandrei,bh,SANTANDREI
26699,Oras Alesd,bh,ORAS ALESD
26742,Astileu,bh,ASTILEU
26804,Municipiul Beius,bh,MUNICIPIUL BEIUS
26840,Oras Stei,bh,ORAS STEI
26877,Municipiul Marghita,bh,MUNICIPIUL MARGHITA
26920,Oras Nucet,bh,ORAS NUCET
26975,Municipiul Salonta,bh,MUNICIPIUL SALONTA
27007,Oras Vascau,bh,ORAS VASCAU
27070,Abram,bh,ABRAM
27169,Abramut,bh,ABRAMUT
27212,Auseu,bh,AUSEU
27285,Avram Iancu,bh,AVRAM IANCU
27329,Balc,bh,BALC
27383,Batar,bh,BATAR
27436,Biharia,bh,BIHARIA
27506,Boianu Mare,bh,BOIANU MARE
27560,Borod,bh,BOROD
27631,Bors,bh,BORS
27686,Bratca,bh,BRATCA
27757,Brusturi,bh,BRUSTURI
27846,Budureasa,bh,BUDUREASA
27908,Buduslau,bh,BUDUSLAU
27935,Bulz,bh,BULZ
27971,Buntesti,bh,BUNTESTI
28077,Cabesti,bh,CABESTI
28139,Capalna,bh,CAPALNA
28193,Carpinet,bh,CARPINET
28246,Cefa,bh,CEFA
28335,Ceica,bh,CEICA
28415,Cetariu,bh,CETARIU
28497,Cherechiu,bh,CHERECHIU
28530,Chislaz,bh,CHISLAZ
28610,Ciuhoi,bh,CIUHOI
28665,Ciumeghiu,bh,CIUMEGHIU
28709,Campani,bh,CAMPANI
28763,Cociuba Mare,bh,COCIUBA MARE
28816,Copacel,bh,COPACEL
28889,Cristioru De Jos,bh,CRISTIORU DE JOS
28941,Curatele,bh,CURATELE
29001,Curtuiseni,bh,CURTUISENI
29038,Derna,bh,DERNA
29092,Diosig,bh,DIOSIG
29154,Dobresti,bh,DOBRESTI
29243,Draganesti,bh,DRAGANESTI
29341,Dragesti,bh,DRAGESTI
29403,Finis,bh,FINIS
29467,Girisu De Cris,bh,GIRISU DE CRIS
29519,Hidiselu De Sus,bh,HIDISELU DE SUS
29573,Holod,bh,HOLOD
29662,Husasau De Tinca,bh,HUSASAU DE TINCA
29724,Ineu,bh,INEU
29760,Lazuri De Beius,bh,LAZURI DE BEIUS
29813,Lazareni,bh,LAZARENI
29902,Lugasu De Jos,bh,LUGASU DE JOS
29948,Lunca,bh,LUNCA
30014,Madaras,bh,MADARAS
30069,Magesti,bh,MAGESTI
30149,Nojorid,bh,NOJORID
30229,Olcea,bh,OLCEA
30274,Osorhei,bh,OSORHEI
30336,Pietroasa,bh,PIETROASA
30416,Pocola,bh,POCOLA
30470,Pomezeu,bh,POMEZEU
30568,Popesti,bh,POPESTI
30648,Rabagani,bh,RABAGANI
30719,Remetea,bh,REMETEA
30773,Rieni,bh,RIENI
30844,Rosia,bh,ROSIA
30871,Sacadat,bh,SACADAT
30915,Oras Sacueni,bh,ORAS SACUENI
30988,Salacea,bh,SALACEA
31011,Salard,bh,SALARD
31057,Sambata,bh,SAMBATA
31128,Sarbi,bh,SARBI
31208,Spinus,bh,SPINUS
31262,Suplacu De Barcau,bh,SUPLACU DE BARCAU
31333,Simian,bh,SIMIAN
31379,Sinteu,bh,SINTEU
31422,Soimi,bh,SOIMI
31510,Suncuius,bh,SUNCUIUS
31565,Tarcea,bh,TARCEA
31609,Tarcaia,bh,TARCAIA
31654,Tauteu,bh,TAUTEU
31716,Tileagd,bh,TILEAGD
31789,Tinca,bh,TINCA
31841,Tulca,bh,TULCA
31878,Tetchea,bh,TETCHEA
31921,Uileacu De Beius,bh,UILEACU DE BEIUS
31976,Vadu Crisului,bh,VADU CRISULUI
32027,Oras Valea Lui Mihai,bh,ORAS VALEA LUI MIHAI
32045,Viisoara,bh,VIISOARA
32090,Varciorog,bh,VARCIOROG
32153,Tamaseu,bh,TAMASEU
32161,Paleu,bh,PALEU
32179,Sannicolau Roman,bh,SANNICOLAU ROMAN
32187,Rosiori,bh,ROSIORI
32195,Gepiu,bh,GEPIU
32201,Toboliu,bh,TOBOLIU
32394,Municipiul Bistrita,bn,MUNICIPIUL BISTRITA
32483,Oras Beclean,bn,ORAS BECLEAN
32544,Oras Nasaud,bn,ORAS NASAUD
32599,Oras Sangeorz-Bai,bn,ORAS SANGEORZ-BAI
32633,Bistrita Bargaului,bn,BISTRITA BARGAULUI
32660,Branistea,bn,BRANISTEA
32704,Budacu De Jos,bn,BUDACU DE JOS
32768,Budesti,bn,BUDESTI
32811,Caianu Mic,bn,CAIANU MIC
32884,Cetate,bn,CETATE
32955,Ciceu-Giurgesti,bn,CICEU-GIURGESTI
33015,Chiochis,bn,CHIOCHIS
33122,Chiuza,bn,CHIUZA
33177,Cosbuc,bn,COSBUC
33202,Dumitra,bn,DUMITRA
33248,Feldru,bn,FELDRU
33275,Galatii Bistritei,bn,GALATII BISTRITEI
33337,Ilva Mare,bn,ILVA MARE
33364,Ilva Mica,bn,ILVA MICA
33382,Josenii Bargaului,bn,JOSENII BARGAULUI
33435,Lechinta,bn,LECHINTA
33514,Lesu,bn,LESU
33541,Livezile,bn,LIVEZILE
33603,Lunca Ilvei,bn,LUNCA ILVEI
33621,Maieru,bn,MAIERU
33658,Matei,bn,MATEI
33729,Magura Ilvei,bn,MAGURA ILVEI
33765,Mariselu,bn,MARISELU
33845,Micestii De Campie,bn,MICESTII DE CAMPIE
33881,Milas,bn,MILAS
33952,Monor,bn,MONOR
33989,Nimigea,bn,NIMIGEA
34075,Nuseni,bn,NUSENI
34155,Parva,bn,PARVA
34173,Petru Rares,bn,PETRU RARES
34235,Prundu Bargaului,bn,PRUNDU BARGAULUI
34262,Rebra,bn,REBRA
34280,Rebrisoara,bn,REBRISOARA
34333,Rodna,bn,RODNA
34360,Romuli,bn,ROMULI
34397,Salva,bn,SALVA
34422,Silivasu De Campie,bn,SILIVASU DE CAMPIE
34477,Sanmihaiu De Campie,bn,SANMIHAIU DE CAMPIE
34547,Spermezeu,bn,SPERMEZEU
34618,Sant,bn,SANT
34645,Sieu,bn,SIEU
34690,Sieu-Magherus,bn,SIEU-MAGHERUS
34770,Sieu-Odorhei,bn,SIEU-ODORHEI
34850,Sieut,bn,SIEUT
34903,Sintereag,bn,SINTEREAG
34985,Teaca,bn,TEACA
35054,Telciu,bn,TELCIU
35090,Tiha Bargaului,bn,TIHA BARGAULUI
35152,Tarlisua,bn,TARLISUA
35269,Uriu,bn,URIU
35312,Urmenis,bn,URMENIS
35429,Zagra,bn,ZAGRA
35731,Municipiul Botosani,bt,MUNICIPIUL BOTOSANI
35759,Curtesti,bt,CURTESTI
35839,Rachiti,bt,RACHITI
35884,Stauceni,bt,STAUCENI
35946,Oras Darabani,bt,ORAS DARABANI
36006,Municipiul Dorohoi,bt,MUNICIPIUL DOROHOI
36060,Oras Saveni,bt,ORAS SAVENI
36131,Albesti,bt,ALBESTI
36202,Avrameni,bt,AVRAMENI
36300,Baluseni,bt,BALUSENI
36373,Braesti,bt,BRAESTI
36426,Broscauti,bt,BROSCAUTI
36453,Oras Bucecea,bt,ORAS BUCECEA
36499,Calarasi,bt,CALARASI
36532,Concesti,bt,CONCESTI
36569,Copalau,bt,COPALAU
36649,Cordareni,bt,CORDARENI
36676,Corlateni,bt,CORLATENI
36756,Corni,bt,CORNI
36809,Cotusca,bt,COTUSCA
36907,Cristesti,bt,CRISTESTI
36952,Cristinesti,bt,CRISTINESTI
37011,Dersca,bt,DERSCA
37057,Dangeni,bt,DANGENI
37100,Dobarceni,bt,DOBARCENI
37173,Draguseni,bt,DRAGUSENI
37217,Durnesti,bt,DURNESTI
37280,Oras Flamanzi,bt,ORAS FLAMANZI
37324,Frumusica,bt,FRUMUSICA
37397,George Enescu,bt,GEORGE ENESCU
37459,Gorbanesti,bt,GORBANESTI
37547,Havarna,bt,HAVARNA
37618,Hanesti,bt,HANESTI
37672,Hiliseu-Horia,bt,HILISEU-HORIA
37734,Hlipiceni,bt,HLIPICENI
37770,Hudesti,bt,HUDESTI
37823,Ibanesti,bt,IBANESTI
37850,Leorda,bt,LEORDA
37912,Lunca,bt,LUNCA
37958,Manoleasa,bt,MANOLEASA
38063,Mihai Eminescu,bt,MIHAI EMINESCU
38161,Mihaileni,bt,MIHAILENI
38241,Mihalaseni,bt,MIHALASENI
38321,Mileanca,bt,MILEANCA
38376,Mitoc,bt,MITOC
38456,Nicseni,bt,NICSENI
38492,Paltinis,bt,PALTINIS
38544,Pomarla,bt,POMARLA
38580,Prajeni,bt,PRAJENI
38633,Radauti-Prut,bt,RADAUTI-PRUT
38679,Rauseni,bt,RAUSENI
38731,Ripiceni,bt,RIPICENI
38811,Roma,bt,ROMA
38848,Romanesti,bt,ROMANESTI
38893,Santa Mare,bt,SANTA MARE
38982,Suharau,bt,SUHARAU
39051,Sulita,bt,SULITA
39122,Sendriceni,bt,SENDRICENI
39168,Oras Stefanesti,bt,ORAS STEFANESTI
39220,Stiubieni,bt,STIUBIENI
39266,Todireni,bt,TODIRENI
39328,Trusesti,bt,TRUSESTI
39391,Tudora,bt,TUDORA
39417,Ungureni,bt,UNGURENI
39532,Unteni,bt,UNTENI
39612,Vaculesti,bt,VACULESTI
39658,Viisoara,bt,VIISOARA
39694,Varfu Campului,bt,VARFU CAMPULUI
39738,Vladeni,bt,VLADENI
39792,Vlasinesti,bt,VLASINESTI
39836,Vorniceni,bt,VORNICENI
39872,Vorona,bt,VORONA
39942,Lozna,bt,LOZNA
39959,Dimacheni,bt,DIMACHENI
39967,Candesti,bt,CANDESTI
39975,Cosula,bt,COSULA
39983,Blandesti,bt,BLANDESTI
40035,Adaseni,bt,ADASENI
40198,Municipiul Brasov,bv,MUNICIPIUL BRASOV
40214,Oras Ghimbav,bv,ORAS GHIMBAV
40241,Municipiul Codlea,bv,MUNICIPIUL CODLEA
40278,Municipiul Fagaras,bv,MUNICIPIUL FAGARAS
40303,Oras Predeal,bv,ORAS PREDEAL
40367,Oras Rasnov,bv,ORAS RASNOV
40394,Oras Rupea,bv,ORAS RUPEA
40438,Municipiul Sacele,bv,MUNICIPIUL SACELE
40465,Oras Victoria,bv,ORAS VICTORIA
40492,Oras Zarnesti,bv,ORAS ZARNESTI
40526,Apata,bv,APATA
40544,Beclean,bv,BECLEAN
40606,Bod,bv,BOD
40633,Bran,bv,BRAN
40688,Budila,bv,BUDILA
40704,Bunesti,bv,BUNESTI
40768,Cata,bv,CATA
40820,Cincu,bv,CINCU
40857,Comana,bv,COMANA
40900,Cristian,bv,CRISTIAN
40928,Dumbravita,bv,DUMBRAVITA
40955,Feldioara,bv,FELDIOARA
40991,Fundata,bv,FUNDATA
41033,Halchiu,bv,HALCHIU
41088,Harman,bv,HARMAN
41113,Harseni,bv,HARSENI
41177,Hoghiz,bv,HOGHIZ
41248,Homorod,bv,HOMOROD
41284,Jibert,bv,JIBERT
41346,Lisa,bv,LISA
41382,Maierus,bv,MAIERUS
41417,Mandra,bv,MANDRA
41471,Moieciu,bv,MOIECIU
41541,Ormenis,bv,ORMENIS
41578,Parau,bv,PARAU
41621,Poiana Marului,bv,POIANA MARULUI
41667,Prejmer,bv,PREJMER
41701,Racos,bv,RACOS
41738,Recea,bv,RECEA
41818,Sercaia,bv,SERCAIA
41854,Sinca,bv,SINCA
41925,Sanpetru,bv,SANPETRU
41943,Soars,bv,SOARS
42003,Tarlungeni,bv,TARLUNGENI
42058,Teliu,bv,TELIU
42076,Ticusu,bv,TICUSU
42101,Ucea,bv,UCEA
42156,Ungra,bv,UNGRA
42183,Vama Buzaului,bv,VAMA BUZAULUI
42236,Vistea,bv,VISTEA
42307,Voila,bv,VOILA
42398,Vulcan,bv,VULCAN
42449,Sinca Noua,bv,SINCA NOUA
42456,Crizbav,bv,CRIZBAV
42464,Sambata De Sus,bv,SAMBATA DE SUS
42472,Holbav,bv,HOLBAV
42480,Dragus,bv,DRAGUS
42498,Augustin,bv,AUGUSTIN
42682,Municipiul Braila,br,MUNICIPIUL BRAILA
42708,Chiscani,br,CHISCANI
42753,Oras Faurei,br,ORAS FAUREI
42771,Surdila-Greci,br,SURDILA-GRECI
42824,Baraganul,br,BARAGANUL
42842,Bertestii De Jos,br,BERTESTII DE JOS
42913,Bordei Verde,br,BORDEI VERDE
42968,Ciocile,br,CIOCILE
43019,Ciresu,br,CIRESU
43073,Dudesti,br,DUDESTI
43117,Frecatei,br,FRECATEI
43180,Galbenu,br,GALBENU
43242,Gemenele,br,GEMENELE
43279,Gradistea,br,GRADISTEA
43313,Gropeni,br,GROPENI
